serial,ZONE,CODE,TOTAL,UR,SC,ST,OBC,UR1,OPTION_1
1,BANGALORE,A,60,32,8,2,18,29,1
2,BHOPAL,B,33,20,7,5,1,18,2
3,BHUBANESHWAR,C,1,1,0,0,0,1,3
4,CHANDIGARH,D,10,5,1,1,3,4,4
5,CHENNAI,E,9,5,1,1,2,4,5
6,COCHIN,F,30,14,7,7,2,13,6
7,DELHI,G,69,35,10,5,19,29,7
8,GOA,H,1,0,0,0,1,0,8
9,HYDRABAD,I,58,35,11,4,8,30,9
10,JAIPUR,J,45,27,5,2,11,24,10
11,KOLKATA,K,7,7,0,0,0,7,11
12,LUCKNOW,L,46,28,12,6,0,24,12
13,,M,0,0,0,0,0,0,13
14,PUNE,N,28,0,9,1,18,0,14
15,,O,0,0,0,0,0,0,15
16,SHILLONG,P,20,12,0,8,0,12,16
17,VADODARA,Q,99,50,15,7,27,44,17
18,CHENNAI_C,R,138,75,21,13,29,65,18
19,COCHIN_C,S,31,17,5,2,7,13,19
20,,T,0,0,0,0,0,0,20
21,KOLKATA_C,U,60,32,10,4,14,27,21
22,MUMBAI_C,V,39,17,16,0,6,13,22
23,,W,0,0,0,0,0,0,23
24,DG,@,120,54,15,13,38,40,27
